Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Pastry Chef,DOMUS GROUP,"Kuching, Sarawak","RM 2,800 – RM 3,000 per month","Chefs/CooksChefs/Cooks , Hospitality & Tourism(Hospitality & Tourism)",,09-06-2024,11h ago,Jobstreet,https://www.jobstreet.com.my/job/76467742?type=standard&ref=search-standalone
Sale Advisor,HMBC Sdn Bhd,"Kuching, Sarawak","RM 3,000 – RM 4,000 per month","Sales Representatives/ConsultantsSales Representatives/Consultants , Sales(Sales)",Profit to be shared.Creating Passionate Team.Delivering Happiness through daily work.,09-06-2024,13d ago,Jobstreet,https://www.jobstreet.com.my/job/76167077?type=standout&ref=search-standalone
Aesthetic Doctor (Kuching),Aglow Medical Group Sdn Bhd,"Kuching, Sarawak","RM 13,500 – RM 20,000 per month","General PractitionersGeneral Practitioners , Healthcare & Medical(Healthcare & Medical)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76410101?type=standout&ref=search-standalone
"Business Manager, Merchant Services",Soft Space Sdn Bhd,"Kuching, Sarawak",,"New Business DevelopmentNew Business Development , Sales(Sales)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76438797?type=standard&ref=search-standalone
Project Manager,IBRACO BERHAD,"Kuching Division, Sarawak",,"Project ManagementProject Management , Construction(Construction)",Outpatient Medical TreatmentDental TreatmentOpthalmology Treatment,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76440921?type=standout&ref=search-standalone
ADMIN CLERK,Junda Realty Sdn Bhd,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392246?type=standard&ref=search-standalone
Site Safety Officer,TENAGA SERI WANGSA SDN BHD,"Kuching, Sarawak","RM 4,000 – RM 5,000 per month","Health, Safety & EnvironmentHealth, Safety & Environment , Construction(Construction)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76413018?type=standard&ref=search-standalone
RESEARCH AND DEVELOPMENT ASSISTANT (FISHERY),SATOYAMA FARM & CONSTRUCTION SDN. BHD.,"Kuching, Sarawak",,"Environmental EngineeringEnvironmental Engineering , Engineering(Engineering)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76416523?type=standard&ref=search-standalone
ADMINISTRATION ASSISTANT,UNIQUE DECO SDN BHD.,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392891?type=standard&ref=search-standalone
Project Engineer (Mechanical),Pansar Company Sdn Bhd,"Kuching, Sarawak","RM 2,400 – RM 3,500 per month","Project ManagementProject Management , Engineering(Engineering)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76414213?type=standard&ref=search-standalone
Project Civil Engineer,TENAGA SERI WANGSA SDN BHD,"Kuching, Sarawak","RM 3,500 – RM 5,000 per month","Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76412993?type=standard&ref=search-standalone
Production Crew Assistant,SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Assembly & Process WorkAssembly & Process Work , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76391746?type=standard&ref=search-standalone
